State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.92679	0.92599	0.93526	0.94857	0.95139	0.95986	0.96309	0.96430	0.96390	0.95260	0.94091	0.93849	0.93002	0.91832	0.90098	0.89412	0.88525	0.87315	0.86065	0.85581	0.85420
2	0.65409	0.65653	0.65702	0.65697	0.65609	0.65453	0.65282	0.65472	0.65550	0.66126	0.67107	0.68019	0.69059	0.69522	0.70332	0.71084	0.71860	0.72645	0.73421	0.74236	0.75012
3	1.08855	1.08391	1.07928	1.07581	1.09202	1.11750	1.12792	1.13139	1.15571	1.13487	1.09897	1.10823	1.11402	1.14066	1.16729	1.18582	1.20203	1.24025	1.24720	1.26341	1.29468
4	3.47623	3.47266	3.47776	3.49408	3.50428	3.51091	3.51448	3.48694	3.44766	3.41349	3.39920	3.34462	3.29566	3.24006	3.17579	3.10284	3.00797	2.92840	2.85902	2.80036	2.72793
5	1.38430	1.40229	1.40341	1.37755	1.33482	1.29546	1.24486	1.23249	1.19425	1.17626	1.12566	1.12116	1.13802	1.11441	1.10092	1.05593	1.06268	1.04919	1.05144	1.04919	1.03569
6	2.01084	1.98792	1.97360	2.06240	2.06240	2.04235	2.11682	2.13974	2.20275	2.15406	2.10536	2.03662	1.91631	1.87334	1.87907	1.84183	1.77595	1.75017	1.69002	1.71866	1.73585
7	1.17853	1.16201	1.22572	1.18915	1.25285	1.28116	1.36846	1.34015	1.39324	1.44514	1.46992	1.46402	1.41565	1.47936	1.46874	1.48290	1.53008	1.54660	1.58081	1.53008	1.53952
8	1.82322	1.74558	1.60636	1.57958	1.64116	1.67597	1.59833	1.74290	1.80983	1.78038	1.71345	1.60368	1.59565	1.55817	1.59029	1.68668	1.67597	1.71077	1.71077	1.77235	1.67597
9	3.13583	3.12594	3.00064	2.96767	2.74014	2.68409	2.68409	2.59176	2.61155	2.58187	2.48295	2.55219	2.56868	2.65111	2.76323	2.79620	2.77642	2.74014	2.73025	2.68409	2.76982
10	3.67187	3.67683	3.68179	3.59247	3.62721	3.61728	3.54285	3.59247	3.47835	3.49820	3.41384	3.26994	3.09628	3.05162	2.81840	2.74397	2.85314	2.83825	2.81344	2.67451	2.51572
