State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.25873	1.27795	1.28578	1.26763	1.23986	1.17401	1.08608	0.97929	0.87463	0.80664	0.77603	0.77211	0.82871	0.89848	0.98676	1.07362	1.13592	1.16618	1.19003	1.18718	1.18148
2	0.74246	0.72260	0.69543	0.65684	0.60373	0.54055	0.47138	0.41036	0.37082	0.35230	0.34364	0.34657	0.35949	0.37706	0.39985	0.42577	0.45708	0.48529	0.50769	0.52444	0.54038
3	0.92810	0.91276	0.88006	0.84428	0.82588	0.75944	0.68176	0.58159	0.52435	0.50289	0.51924	0.50391	0.51924	0.54889	0.58466	0.62452	0.65314	0.68790	0.68892	0.70323	0.72674
4	0.87029	0.80996	0.74602	0.67219	0.59655	0.54567	0.50245	0.46328	0.43222	0.42186	0.42006	0.42636	0.43987	0.44752	0.46868	0.51776	0.59880	0.73657	0.89100	1.07109	1.20796
5	1.26453	1.07396	0.87644	0.69480	0.56477	0.49529	0.45559	0.44169	0.42978	0.44070	0.43474	0.44467	0.46353	0.48933	0.50819	0.53996	0.67594	1.09877	1.71118	2.38216	3.07398
6	2.84180	2.73561	2.42716	1.98218	1.62569	1.12003	0.98603	0.81664	0.79136	0.74585	0.77619	0.78377	0.77871	0.85962	0.96328	1.40320	2.80893	4.61161	6.17157	6.89719	7.04888
7	2.51883	2.68023	2.85724	3.11444	3.28625	3.21648	2.79060	2.19604	1.67644	1.71497	1.60772	1.29742	1.17768	1.22766	1.27347	1.46819	1.60356	1.73476	1.71393	1.66707	1.51401
8	2.86169	3.17835	3.78566	4.67181	5.81318	7.25939	8.67488	8.92773	8.18099	9.23965	9.38617	6.06131	5.88408	5.99514	6.15110	5.98333	5.18697	4.00543	3.09564	2.53322	2.21893
9	4.10956	4.77023	5.65210	7.37800	10.37867	15.40211	22.89071	31.76468	39.11939	40.05947	40.93260	45.21679	42.66141	36.43595	26.56952	17.09309	10.68427	6.83083	4.82844	3.59150	2.72127
10	6.70092	7.90095	9.53896	10.80907	11.20324	10.45431	7.62941	4.99284	3.44681	2.85118	2.89497	3.61324	6.00893	11.86019	22.20063	30.69722	33.35131	31.06950	26.37447	21.77580	18.01365
