State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.62082	0.56894	0.82047	0.91292	0.94101	0.77605	1.16287	1.62807
2	71.25420	0.28195	0.58832	0.80845	0.67114	0.34365	0.52992	1.09876
3	3.00235	0.62282	1.09852	0.80135	1.09908	0.51926	0.68490	0.89809
4	6.81614	0.59920	3.78188	2.17999	3.39854	0.42007	0.66377	0.27953
5	3.09179	0.40513	1.55261	2.28952	1.12465	0.43476	0.85364	0.14344
6	1.21378	0.28740	1.91009	2.24459	2.10558	0.77621	2.11522	0.12337
7	2.94717	0.83858	1.12183	1.07655	1.47007	1.60777	2.06546	0.47612
8	1.29864	10.18407	2.03298	1.02981	1.71363	9.38645	5.67364	0.52555
9	1.05441	46.59454	6.50789	1.33845	2.48321	40.93095	17.95664	0.27955
10	0.70069	3.74389	2.85888	2.18997	3.41420	2.89506	11.47402	0.13986
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
