State (Emission order)	H3K9me3	H3K36me3	H3K79me2	H3K4me1	H3K4me2	H3K9ac	H3K27ac	H3K4me3	H2A.Z	H3K27me3
1	0.011402213404731437	3.5703441432316394E-4	8.151916215911348E-5	0.002419026169167157	0.002477200806457598	2.3212807686903677E-5	1.0942915092844989E-4	1.05516783179632E-4	0.010531282207061354	0.3936697498224892
2	0.008977336227281129	9.458918114736227E-4	2.016100490431167E-4	6.321989392715715E-4	6.70496896774535E-5	2.8805078812127946E-5	7.810874369074899E-5	2.378960382242474E-5	0.006494546358451901	0.004788526034652951
3	0.469306126107551	0.08096036704021463	0.0037026983909489	0.0022761822476458143	2.078071073554907E-4	1.8469050195197545E-4	2.42475285924564E-4	0.0027522607752681447	0.010179534480151329	0.006155728134758836
4	0.003427972964820466	0.21629934705438628	0.03932518439241584	0.017002243161346665	1.0555901993984239E-4	3.7542781150279927E-4	7.947308866775282E-4	1.889596729015194E-5	3.7243839978328994E-5	3.4261672850639276E-5
5	0.04122432066943439	0.23470157714612216	0.6879534097063538	0.0591365429954695	8.931212443493521E-4	5.140132371380065E-4	9.717974556688009E-4	3.0432763251479354E-4	3.9769249073422496E-5	7.721979278165802E-5
6	0.010799393147779151	0.2669513695920282	0.7719433789646835	0.8304765633605551	0.27529272190045895	0.0968948580767854	0.0972261826792817	0.03171280814249706	0.0014548184546501306	1.2579013120814637E-4
7	0.009457282095073877	0.00999443179400801	0.004489710602338524	0.49928286548372147	0.07516571864689343	0.016813167596237303	0.019897899957854535	0.0013358987873562558	0.1814191606016335	0.0025829421071925443
8	0.01782922075806628	0.012209318381168748	0.008632081778934254	0.7260592248696194	0.8023318136367126	0.38605155238503536	0.3284583442008049	0.34417712085985397	0.5373077344318894	0.0684658149244396
9	0.0034714686864136903	0.0035286562924660985	0.20824727949898816	0.3709647191981125	0.8990871047923958	0.989229367052512	0.9909775150122683	0.9893329984575346	0.873082930949712	0.014330943797022967
10	0.007030642596934258	0.23341168679600083	0.9060039603182698	0.749711479242538	0.9780797963160984	0.8908332428933111	0.8215426261962586	0.8005930923026265	0.04980017784012093	1.0329834949775391E-4
