State (Emission order)	H3K9me3	H3K36me3	H3K79me2	H3K4me1	H3K4me2	H3K4me3	H3K27ac	H3K9ac	H2A.Z	H3K27me3
1	0.004033464560507554	0.24234372495477488	0.02787025446143987	0.013584986456910704	1.0170188006639528E-4	1.702407635149938E-5	7.539386374969479E-4	3.452809857275608E-4	3.43770138132092E-5	2.2083806936401764E-5
2	0.14619390368444524	0.7423641582270987	0.794716640590728	0.10024231907013435	0.0034867059523081977	0.001602108195624343	0.003471557858403415	0.0017074480788736132	9.917426320036768E-5	1.2426521506070333E-4
3	0.002588452651836013	0.03263641441254754	0.55518534207135	0.06873620032019521	0.0010463184769200018	2.267566387225123E-5	7.287596402672928E-4	3.7736816510631127E-4	3.484279492491736E-5	7.00984733927016E-5
4	0.008295729539832498	0.25781954570617016	0.8796902153783772	0.8621568916839341	0.37572525912552807	0.07413573452802932	0.12761164956355367	0.1405687478318113	0.001474607859994864	1.189371852687006E-4
5	0.010270327952887114	0.026624607989618174	0.010347789914468736	0.6437199875703156	0.07092057187351292	0.0018621887108098863	0.03997718742680665	0.038684376209876616	0.08105591210831473	0.001456433172119409
6	0.004818720688846737	0.01204235747940813	0.013119644551753747	0.9220620111548755	0.9645039391458556	0.31018239715899215	0.18745192497351898	0.2774969666792653	0.5123900911060976	7.976718999409503E-4
7	0.011086928143343852	0.038926983837488695	0.06532637687042649	0.9743297376703903	0.8414469194790789	0.5335349517942438	0.9129883752329835	0.9708966327256581	0.5790599612089415	2.4178458690689414E-4
8	0.005148064195720307	0.0011301876237095987	0.07328451864785573	0.2848496882977281	0.9626063495522399	0.9964728830302307	0.9673548215430582	0.9773172928477346	0.9543618203700442	0.02874263472500384
9	0.01031643114596852	0.007014810609977523	0.1036256012963909	3.75503374718862E-4	0.23518815210230415	0.7824638071503384	0.8324074131437156	0.733187792608059	0.3594821040406285	1.230086259415732E-4
10	0.004773319080914228	0.1861539571659317	0.9715871374795788	0.5964127487345182	0.9903145680351568	0.9139530267955218	0.916592221455828	0.963836360206968	0.23951668682118618	5.810433771045876E-4
11	0.030226846232483034	0.003711473132279454	0.0026981062150325807	0.23014155021899266	0.8666716084114681	0.5052394850853379	0.083806772837909	0.06224290137420901	0.5235372388799377	0.33575396637059257
12	0.02532594015762742	0.0031996227952989366	3.4556527711525125E-5	0.2655342624894848	0.13384811506054026	0.013853689524001206	0.01568904906763769	0.01801795706777848	0.8361138628337297	0.015299481913750235
13	0.008840846938441007	9.956432357761942E-4	2.843606959634651E-4	0.0015629702081639987	1.4352760189584744E-4	1.924429939980961E-5	9.501963822014299E-5	3.733981328614784E-5	0.00497062747585753	0.004639210390969731
14	0.5039098298392702	0.07863039156759948	0.002534172262892515	0.0018603949893401318	1.550212304319161E-4	0.002812190859728357	2.3645417212534426E-4	1.5958821940725688E-4	0.00947981577788382	0.006870906645086153
15	0.011289129660579626	3.520998545450504E-4	7.541855643734915E-5	0.0021888586381539617	7.716581004023007E-4	2.301415790692054E-5	9.761557199391947E-5	2.01440897402245E-5	0.008864839097908292	0.394292625884007
