15	10	E	-9769864.20597139	8
probinit	1	1.9645067153945212E-19
probinit	2	6.129269851165756E-41
probinit	3	6.92387330999628E-26
probinit	4	3.8659771192242186E-47
probinit	5	1.987109155351794E-21
probinit	6	2.678082830429329E-54
probinit	7	1.785090321445527E-81
probinit	8	7.729362267955453E-83
probinit	9	3.293105241937293E-31
probinit	10	1.1702635073081464E-98
probinit	11	1.3706914701050443E-26
probinit	12	3.305402769831072E-27
probinit	13	1.0
probinit	14	2.6452647797553438E-17
probinit	15	3.171269581918353E-18
transitionprobs	1	1	0.9684623537470304
transitionprobs	1	2	0.00952714147387993
transitionprobs	1	3	0.0036667558434274636
transitionprobs	1	4	8.63396789134204E-4
transitionprobs	1	5	0.007662564105834971
transitionprobs	1	6	1.3689675809072714E-4
transitionprobs	1	7	9.445471255880877E-5
transitionprobs	1	8	2.7473032932926684E-6
transitionprobs	1	9	1.21314559970807E-4
transitionprobs	1	10	3.218667868085562E-5
transitionprobs	1	11	1.3299357073613688E-5
transitionprobs	1	12	0.0
transitionprobs	1	13	0.007805698167844498
transitionprobs	1	14	0.0016111905031803361
transitionprobs	1	15	0.0
transitionprobs	2	1	0.057545041050718664
transitionprobs	2	2	0.7924191935783658
transitionprobs	2	3	0.13150478303007462
transitionprobs	2	4	0.014998885702478608
transitionprobs	2	5	3.623393001801819E-5
transitionprobs	2	6	7.048179921498541E-6
transitionprobs	2	7	7.742214712849444E-6
transitionprobs	2	8	0.0
transitionprobs	2	9	2.2582186659899714E-5
transitionprobs	2	10	1.2277019281347476E-4
transitionprobs	2	11	4.219475581177621E-5
transitionprobs	2	12	0.0
transitionprobs	2	13	4.817756584183222E-6
transitionprobs	2	14	0.0032827983974454745
transitionprobs	2	15	5.909024395151835E-6
transitionprobs	3	1	0.00794507956847841
transitionprobs	3	2	0.047581777512545075
transitionprobs	3	3	0.8860392472887627
transitionprobs	3	4	0.05181989512751829
transitionprobs	3	5	0.0013753830064083894
transitionprobs	3	6	8.818714508095008E-5
transitionprobs	3	7	7.873895916476038E-5
transitionprobs	3	8	2.2027518942663674E-6
transitionprobs	3	9	1.9463074247319601E-4
transitionprobs	3	10	0.0017585167715500633
transitionprobs	3	11	5.5470688929538006E-5
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0030229424495348337
transitionprobs	3	14	3.764959124074457E-5
transitionprobs	3	15	2.783964188583626E-7
transitionprobs	4	1	0.005077784288434164
transitionprobs	4	2	0.014302546740353845
transitionprobs	4	3	0.13247857759397302
transitionprobs	4	4	0.775901729506224
transitionprobs	4	5	0.007615985594886073
transitionprobs	4	6	0.0015217951252503071
transitionprobs	4	7	0.004806410246796064
transitionprobs	4	8	0.0
transitionprobs	4	9	7.724125655903384E-5
transitionprobs	4	10	0.05813585789828625
transitionprobs	4	11	3.785073843676842E-5
transitionprobs	4	12	0.0
transitionprobs	4	13	2.8235930473453197E-5
transitionprobs	4	14	1.598508032682005E-5
transitionprobs	4	15	0.0
transitionprobs	5	1	0.01773311629486807
transitionprobs	5	2	2.093822688272306E-5
transitionprobs	5	3	0.0014352706511431782
transitionprobs	5	4	0.003231936816163515
transitionprobs	5	5	0.7102652991750962
transitionprobs	5	6	0.0665833707784903
transitionprobs	5	7	0.027935564002027305
transitionprobs	5	8	0.0016630224840305575
transitionprobs	5	9	4.753223891828459E-4
transitionprobs	5	10	4.542040147790442E-8
