State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9684623537470304	0.00952714147387993	0.0036667558434274636	8.63396789134204E-4	0.007662564105834971	1.3689675809072714E-4	9.445471255880877E-5	2.7473032932926684E-6	1.21314559970807E-4	3.218667868085562E-5	1.3299357073613688E-5	0.0	0.007805698167844498	0.0016111905031803361	0.0
2	0.057545041050718664	0.7924191935783658	0.13150478303007462	0.014998885702478608	3.623393001801819E-5	7.048179921498541E-6	7.742214712849444E-6	0.0	2.2582186659899714E-5	1.2277019281347476E-4	4.219475581177621E-5	0.0	4.817756584183222E-6	0.0032827983974454745	5.909024395151835E-6
3	0.00794507956847841	0.047581777512545075	0.8860392472887627	0.05181989512751829	0.0013753830064083894	8.818714508095008E-5	7.873895916476038E-5	2.2027518942663674E-6	1.9463074247319601E-4	0.0017585167715500633	5.5470688929538006E-5	0.0	0.0030229424495348337	3.764959124074457E-5	2.783964188583626E-7
4	0.005077784288434164	0.014302546740353845	0.13247857759397302	0.775901729506224	0.007615985594886073	0.0015217951252503071	0.004806410246796064	0.0	7.724125655903384E-5	0.05813585789828625	3.785073843676842E-5	0.0	2.8235930473453197E-5	1.598508032682005E-5	0.0
5	0.01773311629486807	2.093822688272306E-5	0.0014352706511431782	0.003231936816163515	0.7102652991750962	0.0665833707784903	0.027935564002027305	0.0016630224840305575	4.753223891828459E-4	4.542040147790442E-8	0.0010799036656331572	0.006905601412745519	0.16032491203993618	0.002229452979534237	1.1624366386470303E-4
6	0.0017782118206523235	3.4665337986695585E-6	3.922609697248639E-4	0.0029295230648564677	0.28130195698508637	0.5691632534610294	0.058474245889614695	0.041789708122722743	5.248833633252963E-5	0.0018944100772215556	0.0022595929610735145	0.013815868324400463	0.025889094015573384	2.559194379131681E-4	0.0
7	0.0012647473961378399	7.48109546215871E-5	3.3338869653427573E-4	0.010017637484911588	0.1391790717345833	0.0724067246439878	0.7199944805906238	0.042477264695233656	0.002336812520467117	0.006782714686199882	3.271787574239464E-5	3.70267702538473E-4	0.0038327103393916537	8.966506790267419E-4	0.0
8	6.140821887802335E-6	6.384850211171799E-8	4.1283359050977463E-7	0.0	0.007448868390847688	0.03964469654351274	0.03305484520415245	0.7249988800099437	0.06981985036119329	0.032099217170569135	0.059728847665172495	0.01807894259380274	0.014506005888537619	1.956274796094757E-4	4.176011886782904E-4
9	0.004936800384133055	9.657335209659694E-5	0.0034111225789761703	9.474705523955521E-4	0.007344938378107045	4.6755026447623405E-4	0.008147470400018517	0.26654824232184465	0.5181823480011922	0.1361380603195795	0.004781050582947292	3.707379022077124E-4	0.04416066917100883	0.004465443290224332	1.5225007922338636E-6
10	4.48385287080749E-4	2.1440718145119035E-4	0.007516032361881876	0.09129283020702936	2.4708549171856915E-8	0.0017048805007949467	0.004919913522456657	0.028731157310880707	0.030993298157762396	0.8335628102989238	1.646712653986438E-4	0.0	3.988568153078262E-4	5.158793443400746E-5	1.144448048577508E-6
11	1.6820305229449476E-4	3.0498788706853073E-6	4.988491817980962E-4	1.1779859972968719E-4	0.00900262760141776	0.003947777651357275	3.6488657508701355E-5	0.12636029386184697	0.0018590810896330905	4.3547560122370385E-4	0.5795759159737585	0.019469488332296152	0.12478893744995986	0.007936434218179146	0.12579957885012594
12	0.0	0.0	0.0	0.0	0.024753958471611597	0.010242544004687782	5.339721066087806E-4	0.015509624070529948	1.5153886716984095E-4	0.0	0.007848231046682435	0.5491897504098523	0.3857052918292159	0.0024862002296619054	0.003578888963979505
13	6.45090846634957E-4	6.2210439687291E-8	1.1473698158900025E-4	5.793916762761968E-7	0.005809638530474618	2.3563536122123957E-4	3.0327518811418505E-5	1.3540567927123635E-4	9.907103707749472E-5	5.5528456664289475E-6	5.247022276107226E-4	0.00391025737993624	0.9785855833051794	0.005589761115151615	0.004313595569259622
14	0.0028036644055981687	9.908405198561139E-4	1.6634991358266894E-5	2.324804697617486E-7	0.0017583355892189399	3.1215356710772755E-5	1.3677189255880578E-4	2.913920136963894E-5	2.54014689315318E-4	3.2304070792706886E-8	7.758168426668364E-4	4.702746365233623E-4	0.12426927563591376	0.8668845781183576	0.0015791733360120607
15	0.0	0.0	0.0	0.0	2.466804820184421E-5	1.9506794857967512E-8	0.0	2.820763990184174E-5	2.8597898638368352E-8	8.935397516988492E-7	0.004458786058167361	3.2952598104009844E-4	0.034730008079085856	5.572552609478333E-4	0.9598706072882098
